-0.26495,1.0203,-0.89071,-0.80483,0.17078,-0.73849,0.59318,-0.058832,1.0132,0.4191,1.0521,-0.37205,-1.0652,0.28492,0.60348,-0.74164
0.16245,-0.26495,1.0203,-0.89071,-0.80483,0.17078,-0.73849,0.59318,1.5071,1.0132,0.4191,1.0521,-0.37205,-1.0652,0.28492,0.60348
-0.65271,0.16245,-0.26495,1.0203,-0.89071,-0.80483,0.17078,-0.73849,-0.80599,1.5071,1.0132,0.4191,1.0521,-0.37205,-1.0652,0.28492
0.65808,-0.65271,0.16245,-0.26495,1.0203,-0.89071,-0.80483,0.17078,-0.049488,-0.80599,1.5071,1.0132,0.4191,1.0521,-0.37205,-1.0652
0.76813,0.65808,-0.65271,0.16245,-0.26495,1.0203,-0.89071,-0.80483,-1.2153,-0.049488,-0.80599,1.5071,1.0132,0.4191,1.0521,-0.37205
0.34091,0.76813,0.65808,-0.65271,0.16245,-0.26495,1.0203,-0.89071,0.52044,-1.2153,-0.049488,-0.80599,1.5071,1.0132,0.4191,1.0521
0.32001,0.34091,0.76813,0.65808,-0.65271,0.16245,-0.26495,1.0203,-0.34678,0.52044,-1.2153,-0.049488,-0.80599,1.5071,1.0132,0.4191
-0.86727,0.32001,0.34091,0.76813,0.65808,-0.65271,0.16245,-0.26495,-0.45828,-0.34678,0.52044,-1.2153,-0.049488,-0.80599,1.5071,1.0132
0.28828,-0.86727,0.32001,0.34091,0.76813,0.65808,-0.65271,0.16245,0.065526,-0.45828,-0.34678,0.52044,-1.2153,-0.049488,-0.80599,1.5071
0.59218,0.28828,-0.86727,0.32001,0.34091,0.76813,0.65808,-0.65271,-0.38277,0.065526,-0.45828,-0.34678,0.52044,-1.2153,-0.049488,-0.80599
0.085176,0.59218,0.28828,-0.86727,0.32001,0.34091,0.76813,0.65808,0.27363,-0.38277,0.065526,-0.45828,-0.34678,0.52044,-1.2153,-0.049488
-0.56158,0.085176,0.59218,0.28828,-0.86727,0.32001,0.34091,0.76813,-0.35581,0.27363,-0.38277,0.065526,-0.45828,-0.34678,0.52044,-1.2153
-1.0248,-0.56158,0.085176,0.59218,0.28828,-0.86727,0.32001,0.34091,0.22215,-0.35581,0.27363,-0.38277,0.065526,-0.45828,-0.34678,0.52044
-0.9952,-1.0248,-0.56158,0.085176,0.59218,0.28828,-0.86727,0.32001,-0.68865,0.22215,-0.35581,0.27363,-0.38277,0.065526,-0.45828,-0.34678
1.5928,-0.9952,-1.0248,-0.56158,0.085176,0.59218,0.28828,-0.86727,0.47519,-0.68865,0.22215,-0.35581,0.27363,-0.38277,0.065526,-0.45828
0.28012,1.5928,-0.9952,-1.0248,-0.56158,0.085176,0.59218,0.28828,-0.74227,0.47519,-0.68865,0.22215,-0.35581,0.27363,-0.38277,0.065526
